"Timestamp","Platformer / Runner Games","Sports & Competitive","Fighting & Ragdoll Action","Driving & Stunt Games","Puzzle & Casual Games","Clicker & Idle Games","Strategy & Tower Defense","Rhythm Games","Horror Games"
"2025/12/07 8:22:03 pm GMT","Geometry Dash Wave","Darts Pro","GunSpin","Drive Mad","Slice Master","Tiny Fishing [NEW]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/07 9:06:54 pm GMT","Flappy Bird","Penalty Kick Online","Ragdoll Archers","Wheelie Bike","Slice Master","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 8:01:58 am GMT","Geometry Dash Wave","Penalty Kick Online","Ragdoll Archers","Wheelie Bike","BitLife","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 8:03:47 am GMT","Geometry Dash Wave","Basket Random","Ragdoll Archers","Wheelie Bike","There is No Game","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 8:11:12 am GMT","Fast Runner","Basket Random","GunSpin","X3M Winter","BitLife","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 8:20:29 am GMT","Flappy Bird","Basket Random","Ragdoll Hit","Crazy Crash Landing","There is No Game","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 8:32:11 am GMT","Flappy Bird","Penalty Kick Online","Ragdoll Hit","Crashy Road","There is No Game","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 8:32:25 am GMT","Survival Race","Penalty Kick Online","Ragdoll Archers","Wheelie Bike","BitLife","Tiny Fishing [OLD]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 8:36:25 am GMT","Geometry Dash Wave","Penalty Kick Online","GunSpin","Wheelie Bike","Nut Sort","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 9:26:40 am GMT","OvO","Darts Pro","Ragdoll Hit","Wheelie Bike","Block Blast","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/08 9:52:31 am GMT","Geometry Dash Wave","Basket Random","Ragdoll Hit","X3M Winter","BitLife","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 10:16:05 am GMT","Subway Surfers","Darts Pro","GunSpin","Wheelie Bike","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/08 10:26:48 am GMT","Fast Runner","Basket Random","Boxing Random","Drift Boss","BitLife","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 11:34:04 am GMT","OvO","Penalty Kick Online","Ragdoll Hit","Crazy Crash Landing","Block Blast","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 12:27:10 pm GMT","Geometry Dash Wave","A Small World Cup","GunSpin","Drift Boss","BitLife","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 1:35:41 pm GMT","Fast Runner","Tap Goal","Ragdoll Hit","X3M Winter","There is No Game","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/08 1:35:41 pm GMT","Geometry Dash Wave","Idle Football Manager","GunSpin","Crazy Crash Landing","BitLife","Tiny Fishing [OLD]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 1:40:03 pm GMT","Geometry Dash Wave","Basket Random","GunSpin","Wheelie Bike","Gobble","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice",""
"2025/12/08 2:18:11 pm GMT","Geometry Dash Wave","A Small World Cup","Ragdoll Hit","Crazy Crash Landing","There is No Game","Duck Duck Clicker","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 2:30:10 pm GMT","Geometry Dash Wave","Basket Random","Ragdoll Hit","Adventure Drivers","BitLife","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/08 2:32:20 pm GMT","Fast Runner","Penalty Kick Online","Ragdoll Archers","Drift Boss","Slice Master","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/09 7:54:57 am GMT","Geometry Dash Wave","Basket Random","Ragdoll Hit","X3M Winter","Block Blast","Tiny Fishing [OLD]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 8:14:54 am GMT","Fast Runner","Penalty Kick Online","Ragdoll Hit","X3M Winter","Roper","Tiny Fishing [NEW]","Bloons Tower Defense 5","A Dance of Fire and Ice",""
"2025/12/09 9:20:29 am GMT","Fast Runner","Penalty Kick Online","Ragdoll Archers","X3M Winter","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 10:33:29 am GMT","Survival Race","Darts Pro","GunSpin","X3M Winter","There is No Game","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice",""
"2025/12/09 10:45:49 am GMT","Geometry Dash Wave","Tap Goal","Ragdoll Archers","X3M Winter","There is No Game","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 11:55:49 am GMT","Survival Race","Darts Pro","Ragdoll Archers","Drift Boss","BitLife","Tiny Fishing [NEW]","Bloons Tower Defense 5","A Dance of Fire and Ice",""
"2025/12/09 1:28:21 pm GMT","Subway Surfers","Penalty Kick Online","GunSpin","Wheelie Bike","BitLife","Tiny Fishing [NEW]","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 2:18:18 pm GMT","Flappy Bird","A Small World Cup","GunSpin","Wheelie Bike","Nut Sort","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 2:19:21 pm GMT","Geometry Dash Wave","Tap Goal","GunSpin","Wheelie Bike","BitLife","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/09 2:37:48 pm GMT","Survival Race","Idle Football Manager","Ragdoll Archers","Drive Mad","BitLife","Tiny Fishing [OLD]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/09 9:14:39 pm GMT","Geometry Dash Wave","Basket Random","Ragdoll Archers","Drift Boss","BitLife","Duck Duck Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/10 7:40:39 am GMT","Geometry Dash Wave","A Small World Cup","Boxing Random","Crazy Crash Landing","BitLife","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/10 2:27:07 pm GMT","Subway Surfers","Darts Pro","GunSpin","Drive Mad","BitLife","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/10 9:43:12 pm GMT","Geometry Dash Wave","Tap Goal","GunSpin","X3M Winter","Slice Master","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice",""
"2025/12/11 7:45:02 am GMT","OvO","A Small World Cup","Ragdoll Archers","Wheelie Bike","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/11 11:59:47 am GMT","Geometry Dash Wave","Basket Random","Ragdoll Hit","Wheelie Bike","Slice Master","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 3"
"2025/12/11 12:07:40 pm GMT","Geometry Dash Wave","A Small World Cup","Ragdoll Hit","Adventure Drivers","BitLife","Capybara Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/11 1:44:23 pm GMT","Geometry Dash Wave","Tap Goal","GunSpin","Wheelie Bike","BitLife","Duck Duck Clicker","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/11 2:20:45 pm GMT","Geometry Dash 3D","A Small World Cup","Ragdoll Hit","Drive Mad","Roper","Tiny Fishing [NEW]","Thorns and Balloons","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/12 11:40:10 am GMT","Fast Runner","A Small World Cup","Ragdoll Hit","Crazy Crash Landing","Nut Sort","Tiny Fishing [NEW]","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/12 1:34:32 pm GMT","Fast Runner","Penalty Kick Online","Boxing Random","Wheelie Bike","BitLife","Tiny Fishing [OLD]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/13 1:53:00 pm GMT","Fast Runner","A Small World Cup","Boxing Random","Adventure Drivers","BitLife","Duck Duck Clicker","Bloons Tower Defense 5","A Dance of Fire and Ice","Five Nights at Freddy's 2"
"2025/12/14 10:29:39 am GMT","Subway Surfers","Basket Random","Ragdoll Hit","Drift Boss","BitLife","Duck Duck Clicker","Paper Io 2","A Dance of Fire and Ice","Five Nights at Freddy's 1"
"2025/12/15 7:56:03 pm GMT","Geometry Dash Wave","A Small World Cup","Ragdoll Hit","Adventure Drivers","BitLife","Tiny Fishing [NEW]","Plants Vs Zombies","A Dance of Fire and Ice","Five Nights at Freddy's 1"
